id,created_at,modified_at,name,price,restaurant_id
1,2023-11-03 22:46:12.949917,2023-11-03 22:46:12.949917,탕수육+짜장2+만두,16000,13131
2,2023-11-03 22:46:12.973947,2023-11-03 22:46:12.973947,탕수육+짜장+짬뽕+만두,17000,13131
3,2023-11-03 22:46:12.976080,2023-11-03 22:46:12.976080,탕수육+쟁반2인+만두,18000,13131
4,2023-11-03 22:46:12.978173,2023-11-03 22:46:12.978173,탕수육+양장피+쟁반2인+만두,38000,13131
5,2023-11-03 22:46:12.980791,2023-11-03 22:46:12.980791,탕수육+볶음밥2+만두,18000,13131
6,2023-11-03 22:46:12.982372,2023-11-03 22:46:12.982372,탕수육+사천짜장밥(국물)2+만두,18000,13131
7,2023-11-03 22:46:12.983412,2023-11-03 22:46:12.983412,탕수육+짜장4+만두,24000,13131
8,2023-11-03 22:46:12.984995,2023-11-03 22:46:12.984995,탕수육+쟁반짜장3인+만두,25000,13131
9,2023-11-03 22:46:12.986566,2023-11-03 22:46:12.986566,탕수육+쟁반짜장4인+만두,27000,13131
10,2023-11-03 22:46:12.988139,2023-11-03 22:46:12.988139,탕수육+쟁반2인+볶음짬뽕2인+만두,29000,13131
11,2023-11-03 22:46:12.989171,2023-11-03 22:46:12.989171,탕수육+쟁반짜장5인+만두,30000,13131
12,2023-11-03 22:46:12.990730,2023-11-03 22:46:12.990730,탕수육+짜장3인+만두,22000,13131
13,2023-11-03 22:46:12.991777,2023-11-03 22:46:12.991777,"탕수육+(짜장,짬뽕)중 택1",13000,13131
14,2023-11-03 22:46:12.993339,2023-11-03 22:46:12.993339,탕수육+쟁반짜장1,14000,13131
15,2023-11-03 22:46:12.994390,2023-11-03 22:46:12.994390,탕수육+볶음밥1,14000,13131
16,2023-11-03 22:58:07.330304,2023-11-03 22:58:07.330304,인set 탕수육+짜장1,7000,19523
17,2023-11-03 22:58:07.349971,2023-11-03 22:58:07.349971,하set 탕수육+짬뽕1,7500,19523
18,2023-11-03 22:58:07.352122,2023-11-03 22:58:07.352122,각set탕수육+볶음밥 또는 쟁반짜장 1인,5500,19523
19,2023-11-03 22:58:07.354220,2023-11-03 22:58:07.354220,정set 탕수육+짜장2+만두,7000,19523
20,2023-11-03 22:58:07.356308,2023-11-03 22:58:07.356308,1set 탕수육+짜장2+만두,14000,19523
21,2023-11-03 22:58:07.357859,2023-11-03 22:58:07.357859,2set 탕수육+짜장+짬뽕+만두,14000,19523
22,2023-11-03 22:58:07.358904,2023-11-03 22:58:07.358904,볶짬면,15000,19523
23,2023-11-03 22:58:07.360480,2023-11-03 22:58:07.360480,탕짜면,16000,19523
24,2023-11-03 22:58:07.362033,2023-11-03 22:58:07.362033,탕짬면,17000,19523
25,2023-11-03 22:58:07.363069,2023-11-03 22:58:07.363069,탕짬짜,18000,19523
26,2023-11-03 22:58:07.364627,2023-11-03 22:58:07.364627,짬뽕밥,7500,19523
27,2023-11-03 22:58:07.366245,2023-11-03 22:58:07.366245,우동,9000,19523
28,2023-11-03 22:58:07.367459,2023-11-03 22:58:07.367459,간짜장,9000,19523
29,2023-11-03 22:58:07.369001,2023-11-03 22:58:07.369001,울면,12000,19523
30,2023-11-03 22:58:07.370559,2023-11-03 22:58:07.370559,고추짬봉,7000,19523
31,2023-11-03 22:58:07.372117,2023-11-03 22:58:07.372117,삼선짜장,6500,19523
32,2023-11-03 22:58:07.373686,2023-11-03 22:58:07.373686,산선짬뽕,6500,19523
33,2023-11-03 22:58:07.375288,2023-11-03 22:58:07.375288,삼선울면,6500,19523
34,2023-11-03 22:58:07.376842,2023-11-03 22:58:07.376842,간짜장밥,7000,19523
35,2023-11-03 22:58:07.377880,2023-11-03 22:58:07.377880,사천짜장(면+밥+국물),9000,19523
36,2023-11-03 22:58:07.379446,2023-11-03 22:58:07.379446,오므라이스,10000,19523
37,2023-11-03 22:58:07.380506,2023-11-03 22:58:07.380506,짜장밥,9000,19523
38,2023-11-03 22:58:07.381541,2023-11-03 22:58:07.381541,잡채밥,6500,19523
39,2023-11-03 22:58:07.383092,2023-11-03 22:58:07.383092,제육덮밥,6500,19523
